A0A087WTH1_human A0A2I3MPH4_baboon A0A3Q1MFP3_cow A0A5F8HGV3_opossum A0A8I3NQU2_dog E9Q8G3_mouse
A0A2I3LPF5_baboon A0A8I3S4M8_dog A0JNU3_mouse F1MGH2_cow F6VF13_opossum Q86U10_human
A0A096NJJ3_baboon A0A8I3RSL1_dog A5PK77_cow F6PN14_opossum Q86U17_human Q8CIE0_mouse
A0A096NUJ9_baboon A0A8I3NJ84_dog F7FEC7_opossum Q2TBG7_cow Q86U28_human Q9DCB8_mouse
A0A2I3M7A8_baboon A0A8I3MTI3_dog A5D7H7_cow F6PLI3_opossum Q86U38_human Q8BMC4_mouse
A0A096P6D1_baboon A0A3Q1M323_cow A0A8I3PGY7_dog F6V1M4_opossum P70662_mouse Q86U70_human
A0A2I3LGB8_baboon A0A3Q1LHD2_cow A0A8I3QAC3_dog F6WJ15_opossum Q86U86_human Q8BSQ9_mouse
A0A096MYP7_baboon A0A8I3Q4K9_dog F7E541_opossum Q0VC80_cow Q3U5F4_mouse Q86U90_human
A0A096NUR4_baboon A0A3Q1MRZ3_cow A0A8I3MKZ6_dog F6YZN8_opossum Q86UA1_human Q8K2Z2_mouse
A0A2I3MUJ5_baboon A0A8I3MZK0_dog F6VVY2_opossum Q3ZBE6_cow Q86UB9_human Q9CYV5_mouse
A0A2I3N1X3_baboon A0A8I3RPX7_dog A8E4N3_cow F7C597_opossum Q3UFY4_mouse Q86UC2_human
A0A096NWP7_baboon A0A5F8HAA6_opossum A0A8I3PTU5_dog G3N2N2_cow Q86UD0_human Q9D818_mouse
A0A5F8HEZ6_opossum A0A8I3P258_dog A0A8I5MVA3_baboon E1BLL9_cow Q86UD1_human Q8QZR4_mouse
A0A096MYF0_baboon A0A8I3PV66_dog E1BFC4_cow F7E5X5_opossum Q5BKR2_mouse Q86UD5_human
A0A096MTU0_baboon A0A5F8GYZ4_opossum A0A8I3P0S5_dog Q24JZ4_cow Q80WJ7_mouse Q86UE4_human
A0A096MNB1_baboon A0A8I3NYG6_dog A1A4H9_cow F6RF27_opossum Q86UE6_human Q8K377_mouse
A0A2I3N2W2_baboon A0A8I3P137_dog E1BBU6_cow F6W6Q0_opossum O55047_mouse Q86UE8_human
A0A096NYC2_baboon A0A8I3PDH6_dog F1MWA6_cow F7DNN3_opossum Q86UF1_human Q8R3S2_mouse
A0A2I3LCS8_baboon A0A8I3PWC8_dog F6RQG3_opossum Q1RMX6_cow Q3URK1_mouse Q86UF4_human
A0A096NCS5_baboon A0A8I3S4P5_dog E9Q876_mouse F7FEU5_opossum G5E556_cow Q86UK0_human
A0A2I3LFA9_baboon A0A5F8GNK7_opossum A0A8I3RSU4_dog E1BES3_cow Q86UK5_human Q8K1G2_mouse
A0A096NKZ7_baboon A0A3Q1LWW3_cow A0A8I3P283_dog F6PL08_opossum Q80YR4_mouse Q86UK7_human
A0A096N0N6_baboon A0A5F8GPC8_opossum A0A8I3MZK1_dog A6H7D4_cow Q86UL3_human Q8K2C8_mouse
A0A096N8Q8_baboon A0A8I3NFT9_dog E1BEI7_cow F6YRN5_opossum Q86UN2_human Q8K0S5_mouse
A0A096NWI7_baboon A0A8I3MPI5_dog E1BQ10_cow F7EPX0_opossum Q6PFX6_mouse Q86UP0_human
A0A2I3ND15_baboon A0A3Q1LVS2_cow A0A8I3NYX9_dog F7E8S3_opossum Q61595_mouse Q86UP2_human
A0A096NAS1_baboon A0A8I3RV44_dog E1BK38_cow F6PUK6_opossum Q5SSE9_mouse Q86UQ4_human
A0A096NWM9_baboon A0A8I3PH10_dog A6QP59_cow F6RVX3_opossum Q86UR1_human Q8CJ00_mouse
A0A096NQJ3_baboon A0A5F8GQ63_opossum A0A8I3N5Z9_dog F1N7B7_cow Q86UR5_human Q99NE5_mouse
A0A096P2B8_baboon A0A8I3NI36_dog E1BFK4_cow F7DPA4_opossum P61406_mouse Q86US8_human
A0A2I3LC15_baboon A0A8I3MV35_dog F7DIR0_opossum Q3MHE0_cow Q86UT5_human Q99MJ6_mouse
A0A096NC78_baboon A0A8I3NRJ3_dog F1MUU5_cow F7DUM2_opossum Q3TL44_mouse Q86UT6_human
A0A096MM17_baboon A0A8I3MDI2_dog F6PMQ1_cow F7GAE9_opossum Q4VA36_mouse Q86UT8_human
A0A096MZZ3_baboon A0A3Q1M6V2_cow A0A5F8H353_opossum A0A8I3MNF2_dog Q67FY2_mouse Q86UU0_human
A0A096NCH2_baboon A0A3Q1MN58_cow A0A5F8G899_opossum A0A8I3RRJ3_dog Q6PDH0_mouse Q86UU1_human
A0A2I3LM53_baboon A0A8I3MDT7_dog E1BF92_cow F7EFT6_opossum Q3V0C5_mouse Q86UV5_human
A0A8I3Q2C1_dog A0A8I5NDC4_baboon F6XC44_opossum Q3T124_cow Q86UW1_human Q8R000_mouse
A0A096NMC8_baboon A0A5F8H9V0_opossum A0A8I3PI53_dog A0JNM1_cow Q80WK2_mouse Q86UW2_human
A0A096MSH0_baboon A0A5F8HLU7_opossum A0A8I3MM31_dog E1BIJ5_cow F8VQG7_mouse Q86UW6_human
A0A2I3MIE4_baboon A0A3Q1ME52_cow A0A8I3NRV4_dog F6S4J9_opossum Q86UW7_human Q8BYR5_mouse
A0A0A0MVD5_baboon A0A8I3NPD8_dog F1N2J5_cow F6UF93_opossum Q80WM4_mouse Q86UW8_human
A0A096P3D3_baboon A0A8I3MIG0_dog F1N1Z6_cow F7DLX6_opossum Q86UX2_human Q8BJD1_mouse
A0A096NSV8_baboon A0A5F8GGI8_opossum A0A8I3PPM0_dog F1MLL2_cow Q86UX6_human Q8QZV4_mouse
A0A096NRJ8_baboon A0A8I3N6W9_dog E1BMR2_cow F6QBX8_opossum Q86UY5_human Q8K2P2_mouse
A0A096N1C2_baboon A0A5F8GZU0_opossum A0A8I3QQ09_dog A5PKK1_cow Q86UY6_human Q8VE10_mouse
A0A8I3NF79_dog A0A8I5N1S9_baboon F1MYW0_cow F7CVK9_opossum Q3UHB1_mouse Q86UY8_human
A0A096NN45_baboon A0A5F8GMQ8_opossum A0A8I3P7L8_dog E1BM43_cow Q86UZ6_human Q8BID6_mouse
A0A3Q1NIA3_cow A0A8I3MS10_dog A0A8I5NIG5_baboon F7FUG2_opossum Q86V15_human Q9CWL2_mouse
A0A096N660_baboon A0A8I3Q6Q3_dog F6XUY9_opossum Q32KM7_cow Q86V24_human Q8BQS5_mouse
A0A096NNZ5_baboon A0A8I3MIF4_dog F6PII5_opossum F6PTR8_cow Q86V25_human Q8C5G2_mouse
A0A8I3QBU4_dog F1MWD4_cow F7F245_opossum Q866X0_baboon Q86V35_human Q91ZM8_mouse
A0A096NP22_baboon A0A5F8GVM2_opossum A0A8I3PI13_dog D3Z5V4_mouse G3N0A0_cow Q86V42_human
A0A2I3LPS8_baboon A0A8I3P0F9_dog E1BKT0_cow F7D7F7_opossum Q86V48_human Q8R4U7_mouse
A0A096NTJ6_baboon A0A8I3N0B0_dog F6Q1W2_opossum O08583_mouse Q3T0I4_cow Q86V81_human
A0A096ML82_baboon A0A8I3N1J9_dog F1N5D2_cow F7GAZ5_opossum Q86V85_human Q8BPS4_mouse
A0A2I3LPY7_baboon A0A8I3PW30_dog F1MDX7_cow F6QTD9_opossum Q80YR2_mouse Q86V87_human
A0A096NXA3_baboon A0A8I3NDR1_dog F1MXF2_cow F6T235_opossum Q86V88_human Q9D967_mouse
A0A5F8H3R6_opossum A0A8I5NIF7_baboon P85521_cow Q2VLG6_dog Q2VLH6_mouse Q86VB7_human
A0A0A0MUE9_baboon A0A5F8H8Y5_opossum A0A8I3S3J2_dog E1B8B9_cow Q86VD7_human Q8R0Y8_mouse
A0A096N6X3_baboon A0A8I3QBC4_dog E1BCR7_cow F6ZS16_opossum Q86VD9_human Q8BTP0_mouse
A0A2I3N5V4_baboon A0A3Q1LF32_cow A0A8I3RT14_dog F6TC65_opossum Q86VE9_human Q8BHJ6_mouse
A0A096N6V0_baboon A0A8I3Q3U1_dog F1MMX2_cow F6XN82_opossum Q80XB4_mouse Q86VF7_human
A0A8I3P6R1_dog A0A8I5NW08_baboon F6SAH2_opossum Q3ZBP0_cow Q86VG3_human Q9CQI4_mouse
A0A096P1V9_baboon A0A8I3RUC7_dog E1BNN5_cow F7FRJ7_opossum Q7M6Z4_mouse Q86VH2_human
A0A2I3NAV3_baboon A0A5F8H6H0_opossum A0A8I3S1W1_dog F1MEA4_cow Q80XG9_mouse Q86VH4_human
A0A096P543_baboon A0A5F8GJ12_opossum A0A8I3RPJ3_dog A6QNR7_cow Q86VH5_human Q8BZ81_mouse
A0A096NJB7_baboon A0A5F8H775_opossum A0A8I3N2C1_dog F1MBI4_cow Q86VI1_human Q8BI71_mouse
A0A096N410_baboon A0A8I3N595_dog A6H7H0_cow F6VHW5_opossum F8VQ29_mouse Q86VI3_human
A0A5F8GBV3_opossum A0A8I3S7G8_dog A0A8I5NE42_baboon A6QQ25_cow Q86VI4_human Q91XQ6_mouse
A0A8I3NQE1_dog A0A8I5NS61_baboon F7GEQ3_opossum Q5EAC5_cow Q86VK4_human Q8BKX7_mouse
A0A096NZ90_baboon A0A5F8H6B3_opossum A0A8I3MQX6_dog G3MX37_cow Q0P678_mouse Q86VM9_human
A0A096MV84_baboon A0A8I3RZI9_dog F6VV05_opossum Q2KJE0_cow Q3UKC1_mouse Q86VP1_human
A0A2I3MP31_baboon A0A8I3PP15_dog F7E808_opossum G3MXC5_cow Q3V3Q7_mouse Q86VP3_human
A0A096MU71_baboon A0A8I3NT24_dog A7MBJ5_cow F7GD42_opossum Q6ZQ38_mouse Q86VP6_human
A0A096NWU1_baboon A0A5F8GBN3_opossum A0A8I3NPC6_dog F1MBL2_cow Q86VQ6_human Q99MD6_mouse
A0A096P5T9_baboon A0A8I3MY43_dog E1BBW7_cow F7FIR7_opossum Q86VR2_human Q9CQV4_mouse
A0A0A0MVU0_baboon A0A8I3NVM3_dog D3YZF7_mouse F1MKV3_cow F6RM47_opossum Q86VR7_human
A0A8I3PCQ6_dog A0A8I5MWV5_baboon F6YHH4_opossum G3N1N8_cow Q86VR8_human Q8BQB4_mouse
A0A096NMF9_baboon A0A3Q1LR71_cow A0A8I3S2I3_dog F7BJ40_opossum Q86VS3_human Q9D2K4_mouse
A0A096MS87_baboon A0A8I3P1R4_dog E1B7Q0_cow F6Y567_opossum Q86VS8_human Q8BUK6_mouse
A0A096NQK2_baboon A0A5F8HDG5_opossum A0A8I3RTE9_dog E1BCV6_cow Q6PDH4_mouse Q86VV4_human
A0A096MZ76_baboon A0A8I3MI78_dog E1BG09_cow F7CVJ3_opossum Q86VV8_human Q8R4Y8_mouse
A0A2I3MM23_baboon A0A8I3PWJ9_dog F1N429_cow F6TA03_opossum Q80UK0_mouse Q86VW0_human
A0A2I3N1S6_baboon A0A8I3NRF7_dog F7EKA1_opossum Q17QN9_cow Q497L8_mouse Q86VW1_human
A0A096N656_baboon A0A5F8HAJ2_opossum A0A8I3NP10_dog F1MWU7_cow Q86VW2_human Q9CWR0_mouse
A0A096NUX8_baboon A0A8I3PP17_dog F6RXG2_opossum Q3MHX1_cow Q86VX2_human Q8BG94_mouse
A0A096MM06_baboon A0A8I3PP46_dog F7EIN6_opossum Q17QV2_cow Q6PDG8_mouse Q86VX9_human
A0A096NEF5_baboon A0A8I3MJF5_dog F6Y6T7_opossum G3MXC0_cow Q86VY9_human Q8C817_mouse
A0A096NW18_baboon A0A8I3P8H2_dog E1BFN8_cow F7G668_opossum Q86VZ4_human Q8CB67_mouse
A0A096NWV6_baboon A0A8I3P366_dog F1MJ32_cow F6WAV0_opossum Q80ZQ5_mouse Q86VZ6_human
A0A096NGA5_baboon A0A3Q1M0C4_cow A0A8I3NT58_dog F7EBF5_opossum Q86W33_human Q99MU1_mouse
A0A096NL98_baboon A0A3Q1NKV3_cow A0A8I3MPA7_dog F6ZDJ6_opossum Q5U4D9_mouse Q86W42_human
A0A8I3PGA4_dog A0A8I5NPP3_baboon E1BCE5_cow F7C066_opossum Q86W47_human Q9JIN6_mouse
A0A096P2C7_baboon A0A8I3NTP2_dog E1BCU7_cow F7FJY5_opossum Q86W50_human Q9CQG2_mouse
A0A096N5C9_baboon A0A8I3MFQ8_dog E1BFN4_cow F6YD14_opossum Q6P926_mouse Q86W54_human
A0A2I3M1C8_baboon A0A8I3PN38_dog F1MQQ8_cow F7AUH6_opossum Q86W92_human Q8C8U0_mouse
A0A8I3MTD9_dog A0A8I5MYF9_baboon F7DC85_opossum Q3SX23_cow Q86WA8_human Q9DBN5_mouse
A0A096NTB6_baboon A0A5F8GUQ2_opossum A0A8I3NJ14_dog Q58DD2_cow Q80ZD3_mouse Q86WA9_human
A0A2I3M4C0_baboon A0A8I3PHA4_dog F6YPQ0_opossum Q3SZH2_cow Q80YV2_mouse Q86WB0_human
A0A096NER5_baboon A0A8I3MYR0_dog B2RWK3_mouse F1MB34_cow F7F0N8_opossum Q86WB7_human
A0A8I3NAC3_dog B0CM44_baboon F7AKL1_opossum Q0VCT5_cow Q86WC4_human Q8BGT0_mouse
A0A096NTI6_baboon A0A5F8HCW5_opossum A0A8I3RWR0_dog G3MY56_cow Q86WC6_human Q9D119_mouse
A0A0A0MWS6_baboon A0A8I3MUH1_dog A2VE75_cow F6WLU0_opossum Q86WG3_human Q8BHE3_mouse
A0A2I3MWR9_baboon A0A3Q1LVT0_cow A0A8I3S0Q6_dog E9PXF8_mouse F6YJ40_opossum Q86WG5_human
A0A096NBS0_baboon A0A8I3S3N9_dog E1BI07_cow F6ZDS8_opossum Q80SV1_mouse Q86WI0_human
A0A096NDZ3_baboon A0A8I3N7P3_dog F7FBZ3_opossum Q3B7N1_cow Q86WJ1_human Q9CXF7_mouse
A0A096MMY0_baboon A0A8I3MLU9_dog A7MBK2_cow F6TWW3_opossum Q80ZD8_mouse Q86WK6_human
A0A096N7J4_baboon A0A8I3PQZ0_dog F6UY13_opossum G3MX42_cow Q86WK7_human Q8C2S7_mouse
A0A096NA51_baboon A0A8I3NEQ7_dog F7C2X6_opossum Q2T9S9_cow Q80ZE4_mouse Q86WK9_human
A0A096MUN2_baboon A0A8I3P0A7_dog F1N6Q6_cow F7GHS2_opossum Q6PFY1_mouse Q86WN1_human
A0A2I3LNL2_baboon A0A5F8HAN2_opossum A0A8I3PYV0_dog Q0P5K1_cow Q6NXH3_mouse Q86WP2_human
A0A0A0MVC1_baboon A0A5F8HDS7_opossum A0A8I3P5D4_dog Q3TV70_mouse Q58DU8_cow Q86WQ0_human
A0A096N0E0_baboon A0A5F8GHY4_opossum A0A8I3NEF3_dog Q3SZX8_cow Q78PG9_mouse Q86WR0_human
A0A096P4Z7_baboon A0A5F8GF40_opossum A0A8I3Q4H3_dog Q32KP7_cow Q86WR6_human Q9D979_mouse
A0A2I3NDH5_baboon A0A5F8GRQ9_opossum A0A8I3MAP9_dog A5D7L4_cow Q86WR7_human Q8C5R2_mouse
A0A096N8R9_baboon A0A3Q1M0B8_cow A0A8I3S1Y9_dog F7AUF7_opossum Q3V0Q7_mouse Q86WS5_human
A0A096NLY7_baboon A0A8I3QHB1_dog E1BID7_cow F7G5P5_opossum Q80X56_mouse Q86WT6_human
A0A096P420_baboon A0A8I3NS32_dog E1B8S2_cow F7E1S4_opossum Q3UUV5_mouse Q86WV1_human
A0A096NT12_baboon A0A8I3S225_dog F1MPU8_cow K7E4B8_opossum Q86WV5_human Q9D7K2_mouse
A0A096NST1_baboon A0A8I3P3F9_dog A2A6T1_mouse E1BJQ4_cow F6SHB7_opossum Q86X02_human
A0A096NXF8_baboon A0A3Q1MVU0_cow A0A8I3Q6N2_dog F6QMJ8_opossum Q86X10_human Q8BQZ4_mouse
A0A8I3P2T5_dog A0A8I5P183_baboon A4FUY9_cow F6PQE0_opossum Q86X19_human Q8K0U3_mouse
A0A2I3LC97_baboon A0A8I3P3E5_dog F6ZMA2_opossum Q2KIY6_cow Q86X24_human Q9D5T7_mouse
A0A2I3LY48_baboon A0A8I3N6S9_dog E1BNN3_cow F6ZV05_opossum Q86X27_human Q9ERD6_mouse
A0A0A0MWW0_baboon A0A3Q1M8F8_cow A0A5F8HEE4_opossum A0A8I3MSS9_dog Q86X29_human Q99KG5_mouse
A0A2I3M512_baboon A0A5F8HFH4_opossum A0A8I3MPX8_dog F1MS73_cow Q3TX51_mouse Q86X40_human
A0A096N7Z6_baboon A0A452DJD8_cow A0A5F8GNS5_opossum A0A8I3N7B7_dog O88978_mouse Q86X45_human
A0A096NNG0_baboon A0A8I3MD46_dog F6PU96_cow F7ALM7_opossum Q6ZQ11_mouse Q86X52_human
A0A5F8GEZ9_opossum A0A8I3P113_dog A0A8I5N1D7_baboon E9PY43_mouse F1MGX3_cow Q86X53_human
A0A0A0MVR1_baboon A0A3Q1MWG1_cow A0A8I3PD11_dog F7AJN8_opossum Q86X55_human Q9WVG6_mouse
A0A096P4Q0_baboon A0A8I3N431_dog F6XTK4_opossum Q1RMI9_cow Q86X67_human Q8JZU0_mouse
A0A096N0T0_baboon A0A8I3Q4L6_dog F7CHA1_opossum Q32LH4_cow Q86X76_human Q8VDK1_mouse
A0A8I3PPY9_dog A0A8I5NHC1_baboon A7YWP6_cow F6T2Y0_opossum Q86X83_human Q8BXC6_mouse
A0A3Q1MAP6_cow A0A5F8GZE1_opossum A0A8I3NM61_dog A0A8I5NUU1_baboon Q86X95_human Q9DA19_mouse
A0A096NT48_baboon A0A8I3S261_dog A2AA28_mouse F1MQ97_cow F7BX33_opossum Q86XA0_human
A0A452DJ16_cow A0A8I3NXD6_dog A0A8I5N2W8_baboon F7FJ13_opossum Q3TY60_mouse Q86XD5_human
A0A096P490_baboon A0A8I3S9U2_dog D3Z3C6_mouse E1BLQ7_cow F7AR16_opossum Q86XD8_human
A0A2I3LSR2_baboon A0A5F8GVT6_opossum A0A8I3RY43_dog F1MHU1_cow Q86XE3_human Q9CTY5_mouse
A0A096P614_baboon A0A5F8GMB5_opossum A0A8I3Q9P3_dog Q0P5I5_cow Q86XE5_human Q9DCU9_mouse
A0A5F8H636_opossum A0A8I3NXG2_dog A0A8I5R6R2_baboon F1N535_cow Q6DFV1_mouse Q86XI2_human
A0A096MLQ4_baboon A0A8I3NCV8_dog A6QNP3_cow F7BLM2_opossum Q86XI6_human Q8C767_mouse
A0A2I3LZ22_baboon A0A8I3MLK2_dog F1N2N8_cow F7GAF6_opossum Q6DI92_mouse Q86XI8_human
A0A8I3PV84_dog A0A8I5NKI5_baboon E1BG42_cow F7F4I1_opossum J3QMI4_mouse Q86XJ0_human
A0A096N8X5_baboon A0A8I3N020_dog F1MIY4_cow F7FL04_opossum Q3UWW6_mouse Q86XJ1_human
A0A096NF35_baboon A0A8I3RSR1_dog E1B9Q3_cow F7CK93_opossum Q7TPD1_mouse Q86XK2_human
A0A096P6I2_baboon A0A8I3Q6U5_dog F7FIV7_opossum G3MWJ1_cow Q86XK3_human Q8BP27_mouse
A0A2I3MGW0_baboon A0A8I3NWG2_dog F6U166_opossum Q29RR6_cow Q86XK7_human Q9D2J4_mouse
A0A096MQR0_baboon A0A8I3S9N7_dog E1BFD1_cow F7BA30_opossum Q6P1H6_mouse Q86XL3_human
A0A2I3LPT5_baboon A0A8I3PP84_dog F1N1R1_cow F6WLC3_opossum Q5PRE5_mouse Q86XN7_human
A0A096NTR3_baboon A0A5F8GTQ9_opossum A0A8I3RZX3_dog F1MG30_cow Q50L43_mouse Q86XP0_human
A0A096P6F8_baboon A0A8I3PHX0_dog E1BJD2_cow F6R9N2_opossum Q810A7_mouse Q86XP3_human
A0A096MVX7_baboon A0A5F8GXH1_opossum A0A8I3PPT4_dog E1BHJ9_cow Q86XP6_human Q9CQS6_mouse
A0A096MMM1_baboon A0A8I3RXR2_dog F1N390_cow F6TI60_opossum Q80W99_mouse Q86XQ3_human
A0A2I3MI42_baboon A0A8I3S654_dog D3YZB0_mouse F1MTH8_cow F6SVS0_opossum Q86XR2_human
A0A096NJH3_baboon A0A8I3ML01_dog K7E2V8_opossum Q2T9N5_cow Q810F0_mouse Q86XR5_human
A0A096MW88_baboon A0A8I3RU18_dog F6TXW6_opossum Q2LGB7_cow Q86XR7_human Q8BJQ4_mouse
A0A2I3NDX7_baboon A0A3Q1LT15_cow A0A5F8H3Z7_opossum A0A8I3P1V5_dog Q86XR8_human Q8CEE0_mouse
A0A096NRX3_baboon A0A5F8GSU0_opossum A0A8I3N0N7_dog A5PJQ3_cow Q86XS8_human Q8VEM1_mouse
A0A096N4K3_baboon A0A8I3N530_dog F1N0A3_cow F6TEX3_opossum Q810I0_mouse Q86XT2_human
A0A096NS21_baboon A0A1L1SUL6_mouse A0A8I3PRC2_dog F7FRS4_opossum Q148E9_cow Q86XW9_human
A0A2I3LM61_baboon A0A8I3RZ42_dog F1N740_cow F6S792_opossum Q80T14_mouse Q86XX4_human
A0A096MUP4_baboon A0A8I3PB16_dog F1MPI7_cow F6SET9_opossum Q61010_mouse Q86Y01_human
A0A3Q1N078_cow A0A8I3RZG5_dog A0A8I5N3A4_baboon F6UHB8_opossum Q86Y07_human Q8BN21_mouse
A0A096MZ48_baboon A0A8I3PXR7_dog F6RVN5_cow F6U2A3_opossum Q7TPV2_mouse Q86Y13_human
A0A096NDQ8_baboon A0A5F8HI94_opossum A0A8I3NEI2_dog F1MSJ7_cow Q86Y22_human Q8K4G2_mouse
A0A096NC04_baboon A0A8I3PWB6_dog D3Z3I0_mouse F1MF85_cow F6RB64_opossum Q86Y33_human
A0A096NIU2_baboon A0A8I3N3J7_dog F1MN89_cow F6V9H0_opossum Q86Y34_human Q8R0T6_mouse
A0A096NTW6_baboon A0A5F8GPZ9_opossum A0A8I3P0L6_dog F1MUK4_cow Q86Y37_human Q8R0X2_mouse
A0A0A0MU92_baboon A0A8I3NKQ4_dog F7FWB2_opossum Q86Y39_human Q8HXG6_cow Q9D8B4_mouse
A0A096NQJ5_baboon A0A8I3RVE3_dog B9EJR8_mouse F7BTY0_opossum G3N314_cow Q86Y56_human
A0A096NSN3_baboon A0A8I3N6K6_dog F7GBF3_opossum G3N0Q5_cow Q86Y78_human Q8BPP5_mouse
A0A5F8GI65_opossum A0A8I3MSQ8_dog A0A8I5P3C0_baboon E1BK88_cow Q86Y79_human Q8BW00_mouse
A0A096P646_baboon A0A8I3RTA0_dog E1BC46_cow F6R183_opossum Q6PFD6_mouse Q86Y91_human
A0A096MRK1_baboon A0A5F8GSJ1_opossum A0A8I3P1P4_dog E1BPG1_cow Q0VGT4_mouse Q86YA3_human
A0A096MPR3_baboon A0A452DIJ4_cow A0A5F8HEB4_opossum A0A8I3S0N7_dog Q3TLP5_mouse Q86YB7_human
A0A2I3M8I9_baboon A0A8I3MIS1_dog F1MW08_cow F7CL82_opossum Q86YB8_human Q8R2E9_mouse
A0A096NHF6_baboon A0A5S9I5Z8_dog E1BL90_cow F6ZMG9_opossum Q3U0P1_mouse Q86YC2_human
A0A8I3Q8M5_dog A0A8I5MXQ3_baboon F7CUF9_opossum Q3ZBI5_cow Q86YC3_human Q8BMT4_mouse
A0A2I3N999_baboon A0A8I3N0I3_dog A4IFI7_cow F7G9K5_opossum Q86YD3_human Q9DCF1_mouse
A0A2I3LT76_baboon A0A8I3P5S7_dog A2AR95_mouse E1BNK5_cow F6YHK8_opossum Q86YD5_human
A0A096NYW2_baboon A0A8I3ND22_dog F1MUT7_cow F7DWD6_opossum Q86YF9_human Q8BMD2_mouse
A0A096NR69_baboon A0A8I3N976_dog A6QR05_cow F7AKH1_opossum Q33DR3_mouse Q86YH6_human
A0A096MVV3_baboon A0A8I3Q8C9_dog F1MJH9_cow F6WG08_opossum Q86YI8_human Q8K2W6_mouse
A0A096NH00_baboon A0A8I3NNK7_dog E1BN37_cow H9H7Y9_opossum Q3TZ87_mouse Q86YJ5_human
A0A2I3LPD9_baboon A0A5F8GZH4_opossum A0A8I3NN53_dog E1B913_cow Q80W22_mouse Q86YJ6_human
A0A096P3K4_baboon A0A3Q1MEC6_cow A0A8I3NI80_dog F6REP0_opossum Q5F259_mouse Q86YJ7_human
A0A8I3NY79_dog A0A8I5ND36_baboon F1MF67_cow F6T927_opossum Q86YL5_human Q8C5P7_mouse
A0A2I3MSS7_baboon A0A5F8G504_opossum A0A8I3RUZ0_dog Q2KJ56_cow Q86YM7_human Q9Z2Y3_mouse
A0A8I3PL72_dog B0CM95_baboon F1MW49_cow F7FFJ7_opossum Q86YN1_human Q9JMF7_mouse
A0A096MPZ4_baboon A0A3Q1NBQ2_cow A0A8I3N0I9_dog F6VCD4_opossum Q86YN6_human Q8VHJ7_mouse
A0A0A0MVQ6_baboon A0A3S5ZPD8_cow A0A8I3NTF9_dog F6X9S3_opossum Q86YP4_human Q8CHY6_mouse
A0A096P3P5_baboon A0A8I3NPH5_dog E1BDG6_cow F6ZI91_opossum Q86YS3_human Q8BQP8_mouse
A0A096N126_baboon A0A3Q1M591_cow A0A8I3PAL4_dog F7BV02_opossum Q86YS6_human Q8CG50_mouse
A0A096MZI6_baboon A0A3Q1ME92_cow A0A5F8H389_opossum A0A8I3NUG1_dog Q7TPS5_mouse Q86YS7_human
A0A8I3NNH8_dog A0A8I5NCR8_baboon E1BJ09_cow F7G2T8_opossum Q80SY4_mouse Q86YT6_human
A0A096NCP3_baboon A0A5F8H9S7_opossum A0A8I3MQ65_dog A6QPH6_cow Q80UL9_mouse Q86YT9_human
A0A096NWD4_baboon A0A8I3NLI8_dog E1BCY7_cow F7FNN2_opossum Q571I4_mouse Q86YV5_human
A0A3Q1M5L3_cow A0A5F8GHK1_opossum A0A8I3P172_dog A0A8I5N9H7_baboon Q5SUV5_mouse Q86YV6_human
A0A096MXX7_baboon A0A5F8H9J4_opossum A0A8I3PFT7_dog A2VDT8_cow Q86YV9_human Q8BLY7_mouse
A0A5F8GU17_opossum A0A8I3NWQ5_dog A0A8I5QZ84_baboon Q1RML2_cow Q86YW0_human Q8K4D7_mouse
A0A0F7RPV8_cow A0A0F7RQS3_dog A0A2I3MAP3_baboon F7GCN7_opossum Q812B2_mouse Q86YW7_human
A0A2I3MN73_baboon A0A8I3PMI2_dog F1MPU1_cow F6T2D4_opossum Q86YW9_human Q8BQM9_mouse
A0A096MPJ2_baboon A0A8I3PXB3_dog E1BQ34_cow F6SBD5_opossum O88904_mouse Q86Z02_human
A0A096MVP6_baboon A0A8I3RTN7_dog F1N4S9_cow F7AQ46_opossum Q86Z14_human Q99N32_mouse
A0A096NCY5_baboon A0A8I3NI75_dog E1BLC4_cow F6SG99_opossum Q5U465_mouse Q86Z20_human
A0A096N513_baboon F1MFA0_cow F6Y998_opossum J9P802_dog Q4ZJM9_mouse Q86Z23_human
A0A096NFJ3_baboon A0A8I3RUD5_dog E1BFK8_cow F6ZXX3_opossum Q8C7R7_mouse Q8HWS3_human
A0A8I3S0X5_dog A0A8I5NF12_baboon E1B7G0_cow F7G0V4_opossum Q8CGK5_mouse Q8IU57_human
A0A2I3MXV0_baboon A0A8I3MY06_dog F7FEL1_opossum G3MYZ4_cow Q8IU60_human Q9CYC6_mouse
A0A096NT60_baboon A0A5F8HH71_opossum A0A8I3NVC5_dog E1BA71_cow Q7TN58_mouse Q8IU68_human
A0A2I3LTZ5_baboon A0A5F8G910_opossum A0A8I3RU13_dog F1MWW8_cow Q8IU80_human Q9DBI0_mouse
A0A0A0MX84_baboon A0A3Q1MMU1_cow A0A8I3MX52_dog F7E0A2_opossum Q8IU81_human Q8R3Y8_mouse
A0A096P3F8_baboon A0A8I3RQN8_dog F1N063_cow F6R272_opossum Q8BW96_mouse Q8IU85_human
A0A096NNE7_baboon A0A5F8HAJ1_opossum A0A8I3MDB1_dog A5D7K4_cow Q1A3B0_mouse Q8IU89_human
